ShortLabel,ROcc_Hus,Geo
8744c128dffffff,178,Hex
8744c128effffff,88,Hex
8744c1290ffffff,306,Hex
8744c1291ffffff,240,Hex
8744c1292ffffff,179,Hex
8744c1293ffffff,199,Hex
8744c1294ffffff,524,Hex
8744c1295ffffff,1000,Hex
8744c1296ffffff,133,Hex
8744c1298ffffff,67,Hex
8744c1299ffffff,326,Hex
8744c129affffff,255,Hex
8744c129bffffff,38,Hex
8744c129cffffff,100,Hex
8744c129dffffff,41,Hex
8744c129effffff,231,Hex
8744c12a0ffffff,665,Hex
8744c12a1ffffff,85,Hex
8744c12a2ffffff,470,Hex
8744c12a3ffffff,32,Hex
8744c12a4ffffff,2132,Hex
8744c12a5ffffff,916,Hex
8744c12a6ffffff,551,Hex
8744c12a8ffffff,216,Hex
8744c12a9ffffff,78,Hex
8744c12aaffffff,79,Hex
8744c12abffffff,251,Hex
8744c12acffffff,739,Hex
8744c12adffffff,733,Hex
8744c12aeffffff,945,Hex
8744c12b0ffffff,556,Hex
8744c12b1ffffff,272,Hex
8744c12b2ffffff,189,Hex
8744c12b3ffffff,705,Hex
8744c12b4ffffff,1721,Hex
8744c12b5ffffff,196,Hex
8744c12b6ffffff,1199,Hex
8744c12c0ffffff,57,Hex
8744c12c1ffffff,39,Hex
8744c12c2ffffff,85,Hex
8744c12c3ffffff,49,Hex
8744c12c4ffffff,31,Hex
8744c12c5ffffff,25,Hex
8744c12c6ffffff,68,Hex
8744c12c8ffffff,21,Hex
8744c12c9ffffff,12,Hex
8744c12caffffff,30,Hex
8744c12cbffffff,10,Hex
8744c12ccffffff,24,Hex
8744c12cdffffff,13,Hex
8744c12ceffffff,32,Hex
8744c12d0ffffff,508,Hex
8744c12d1ffffff,49,Hex
8744c12d2ffffff,675,Hex
8744c12d3ffffff,139,Hex
8744c12d4ffffff,279,Hex
8744c12d5ffffff,157,Hex
8744c12d6ffffff,180,Hex
8744c12d8ffffff,75,Hex
8744c12d9ffffff,77,Hex
8744c12daffffff,95,Hex
8744c12dbffffff,28,Hex
8744c12dcffffff,95,Hex
8744c12ddffffff,142,Hex
8744c12deffffff,83,Hex
8744c12e0ffffff,17,Hex
8744c12e1ffffff,17,Hex
8744c12e2ffffff,92,Hex
8744c12e3ffffff,22,Hex
8744c12e4ffffff,71,Hex
8744c12e5ffffff,8,Hex
8744c12e6ffffff,783,Hex
8744c12e8ffffff,6,Hex
8744c12e9ffffff,4,Hex
8744c12eaffffff,19,Hex
8744c12ebffffff,6,Hex
8744c12ecffffff,11,Hex
8744c12edffffff,8,Hex
8744c12eeffffff,37,Hex
8744c12f0ffffff,311,Hex
8744c12f1ffffff,238,Hex
8744c12f2ffffff,456,Hex
8744c12f3ffffff,108,Hex
8744c12f4ffffff,1272,Hex
8744c12f5ffffff,456,Hex
8744c12f6ffffff,154,Hex
8744c1300ffffff,708,Hex
8744c1301ffffff,788,Hex
8744c1302ffffff,2054,Hex
8744c1303ffffff,1185,Hex
8744c1304ffffff,3390,Hex
8744c1305ffffff,88,Hex
8744c1306ffffff,1041,Hex
8744c1308ffffff,3196,Hex
8744c1309ffffff,1176,Hex
8744c130affffff,2874,Hex
8744c130bffffff,2252,Hex
8744c130cffffff,3119,Hex
8744c130dffffff,1136,Hex
8744c130effffff,2714,Hex
8744c1310ffffff,1430,Hex
8744c1311ffffff,1486,Hex
8744c1312ffffff,1078,Hex
8744c1313ffffff,733,Hex
8744c1314ffffff,130,Hex
8744c1315ffffff,2251,Hex
8744c1316ffffff,785,Hex
872649369ffffff,103,Hex
8744c1318ffffff,1063,Hex
8744c1319ffffff,108,Hex
8744c131affffff,2216,Hex
8744c131bffffff,71,Hex
8744c131cffffff,1416,Hex
8744c131dffffff,2944,Hex
8744c131effffff,1262,Hex
8744c1320ffffff,4507,Hex
8744c1321ffffff,5143,Hex
8744c1322ffffff,2763,Hex
8744c1323ffffff,6250,Hex
8744c1324ffffff,5059,Hex
8744c1325ffffff,2625,Hex
8744c1326ffffff,2937,Hex
8744c1328ffffff,102,Hex
8744c1329ffffff,37,Hex
8744c132affffff,1580,Hex
8744c132bffffff,1722,Hex
8744c132cffffff,38,Hex
8744c132dffffff,18,Hex
8744c132effffff,1174,Hex
8744c1330ffffff,181,Hex
8744c1331ffffff,4423,Hex
8744c1332ffffff,297,Hex
8744c1333ffffff,2035,Hex
8744c1334ffffff,2099,Hex
8744c1335ffffff,3147,Hex
8744c1336ffffff,781,Hex
8744c1340ffffff,82,Hex
8744c1341ffffff,142,Hex
8744c1342ffffff,78,Hex
8744c1343ffffff,104,Hex
8744c1344ffffff,115,Hex
8744c1345ffffff,155,Hex
8744c1346ffffff,105,Hex
8744c1348ffffff,102,Hex
8744c1349ffffff,184,Hex
8744c134affffff,83,Hex
8744c134bffffff,222,Hex
8744c134cffffff,245,Hex
8744c134dffffff,109,Hex
8744c134effffff,121,Hex
8744c1350ffffff,50,Hex
8744c1351ffffff,72,Hex
8744c1352ffffff,539,Hex
8744c1353ffffff,325,Hex
8744c1354ffffff,90,Hex
8744c1355ffffff,97,Hex
8744c1356ffffff,3135,Hex
8744c1358ffffff,63,Hex
8744c1359ffffff,75,Hex
8744c135affffff,40,Hex
8744c0009ffffff,0,Hex
8744c000bffffff,1,Hex
8744c0040ffffff,8,Hex
8744c0041ffffff,4,Hex
8744c0042ffffff,7,Hex
8744c0043ffffff,9,Hex
8744c0044ffffff,1,Hex
8744c0045ffffff,2,Hex
8744c0046ffffff,8,Hex
8744c0048ffffff,2,Hex
8744c0049ffffff,5,Hex
8744c004affffff,3,Hex
8744c004bffffff,5,Hex
8744c004cffffff,6,Hex
8744c004dffffff,6,Hex
8744c004effffff,2,Hex
8744c0050ffffff,36,Hex
8744c0051ffffff,4,Hex
8744c0052ffffff,32,Hex
8744c0053ffffff,17,Hex
8744c0054ffffff,4,Hex
8744c0055ffffff,24,Hex
8744c0056ffffff,0,Hex
8744c0058ffffff,17,Hex
8744c005affffff,32,Hex
8744c005bffffff,24,Hex
8744c005cffffff,10,Hex
8744c005dffffff,16,Hex
8744c005effffff,0,Hex
8744c0062ffffff,1,Hex
8744c0063ffffff,1,Hex
8744c0068ffffff,3,Hex
8744c0069ffffff,1,Hex
8744c006affffff,8,Hex
8744c006bffffff,6,Hex
8744c006cffffff,4,Hex
8744c006dffffff,5,Hex
8744c006effffff,0,Hex
8744c0071ffffff,0,Hex
8744c0073ffffff,4,Hex
8744c008affffff,0,Hex
8744c008bffffff,0,Hex
8744c008effffff,0,Hex
8744c0098ffffff,1,Hex
8744c0099ffffff,0,Hex
8744c009affffff,0,Hex
8744c009bffffff,0,Hex
8744c009dffffff,0,Hex
8744c00c0ffffff,1,Hex
8744c00c1ffffff,0,Hex
8744c00c2ffffff,2,Hex
8744c00c3ffffff,5,Hex
8744c00c4ffffff,11,Hex
8744c00c5ffffff,1,Hex
8744c00c6ffffff,0,Hex
8744c00c8ffffff,87,Hex
8744c00c9ffffff,367,Hex
8744c00caffffff,21,Hex
8744c00cbffffff,21,Hex
8744c00ccffffff,262,Hex
8744c00cdffffff,511,Hex
8744c00ceffffff,12,Hex
8744c00d0ffffff,5,Hex
8744c00d1ffffff,6,Hex
8744c00d2ffffff,0,Hex
8744c00d3ffffff,5,Hex
8744c00d5ffffff,0,Hex
8744c00d6ffffff,3,Hex
8744c00d8ffffff,35,Hex
8744c00d9ffffff,24,Hex
8744c00daffffff,0,Hex
8744c00dbffffff,11,Hex
8744c00dcffffff,1,Hex
8744c00ddffffff,27,Hex
8744c00deffffff,3,Hex
8744c00e0ffffff,0,Hex
8744c00e1ffffff,34,Hex
8744c00e2ffffff,9,Hex
8744c00e3ffffff,6,Hex
8744c00e4ffffff,3,Hex
8744c00e5ffffff,16,Hex
8744c00e6ffffff,3,Hex
8744c00e8ffffff,70,Hex
8744c00e9ffffff,57,Hex
8744c00eaffffff,1,Hex
8744c00ebffffff,306,Hex
8744c00ecffffff,26,Hex
8744c00edffffff,0,Hex
8744c00eeffffff,5,Hex
8744c00f1ffffff,0,Hex
8744c00f4ffffff,0,Hex
8744c0200ffffff,8,Hex
8744c0201ffffff,2,Hex
8744c0203ffffff,14,Hex
8744c0204ffffff,31,Hex
8744c0205ffffff,0,Hex
8744c0206ffffff,58,Hex
8744c0208ffffff,2,Hex
8744c0209ffffff,10,Hex
8744c020affffff,54,Hex
8744c020bffffff,2,Hex
8744c020cffffff,6,Hex
8744c020dffffff,4,Hex
8744c020effffff,8,Hex
8744c0210ffffff,8,Hex
8744c0211ffffff,1,Hex
8744c0212ffffff,10,Hex
8744c0213ffffff,7,Hex
8744c0214ffffff,9,Hex
8744c0216ffffff,0,Hex
8744c0218ffffff,4,Hex
8744c0219ffffff,46,Hex
8744c021affffff,4,Hex
8744c021bffffff,222,Hex
8744c021dffffff,6,Hex
8744c021effffff,16,Hex
8744c0220ffffff,0,Hex
8744c0221ffffff,1,Hex
8744c0222ffffff,0,Hex
8744c0223ffffff,7,Hex
8744c0224ffffff,0,Hex
8744c0225ffffff,0,Hex
8744c0226ffffff,3,Hex
8744c0229ffffff,0,Hex
8744c022affffff,7,Hex
8744c022bffffff,1,Hex
8744c022cffffff,1,Hex
8744c022dffffff,0,Hex
8744c0230ffffff,34,Hex
8744c0231ffffff,1,Hex
8744c0232ffffff,17,Hex
8744c0233ffffff,16,Hex
8744c0234ffffff,16,Hex
8744c0235ffffff,7,Hex
8744c0236ffffff,5,Hex
8744c0240ffffff,12,Hex
8744c0241ffffff,6,Hex
8744c0243ffffff,1,Hex
8744c0244ffffff,2,Hex
8744c0245ffffff,4,Hex
8744c0246ffffff,12,Hex
8744c0248ffffff,1,Hex
