ShortLabel,ROcc_Hus,Geo
13121001002,698,Tract
13121001101,614,Tract
13121001102,2153,Tract
13121001203,1568,Tract
13121001204,667,Tract
13121001205,665,Tract
13121001206,1050,Tract
13121001301,1272,Tract
13121001302,509,Tract
13121001400,826,Tract
13121001501,1113,Tract
13121001502,510,Tract
13121001600,981,Tract
13121001701,761,Tract
13121001702,1741,Tract
13121001801,1382,Tract
13121001802,772,Tract
13121001901,94,Tract
13121001902,789,Tract
13121002100,934,Tract
13121002300,409,Tract
13121002400,565,Tract
13121002500,972,Tract
13121002600,392,Tract
13121002801,808,Tract
13121002802,768,Tract
13121002900,797,Tract
13121003000,1221,Tract
13121003100,882,Tract
13121003200,805,Tract
13121003500,1346,Tract
13121003600,400,Tract
13121003700,233,Tract
13121003800,162,Tract
13121003900,440,Tract
13121004000,454,Tract
13121004100,347,Tract
13121004200,1075,Tract
13121004300,327,Tract
13121004400,1416,Tract
13121004800,925,Tract
13121004900,517,Tract
13121005000,1643,Tract
13121005200,565,Tract
13121005300,260,Tract
13121005501,539,Tract
13121005503,651,Tract
13121005504,300,Tract
13121005700,453,Tract
13121005800,370,Tract
13121006000,739,Tract
13121006100,433,Tract
13121006200,262,Tract
13121006300,525,Tract
13121006400,242,Tract
13121006500,485,Tract
13121006601,385,Tract
13121006602,218,Tract
13121006701,679,Tract
13121006702,196,Tract
13121006801,0,Tract
13121006802,323,Tract
13121006900,549,Tract
13121007001,758,Tract
13121007002,486,Tract
13121007100,523,Tract
13121007200,188,Tract
13121007301,1113,Tract
13121007302,717,Tract
13121007400,743,Tract
13121007500,1043,Tract
13121007602,678,Tract
13121007603,1697,Tract
13121007604,1305,Tract
13121007703,632,Tract
13121007705,1691,Tract
13121007707,175,Tract
13121007708,853,Tract
13121007709,893,Tract
13121007710,1193,Tract
13121007711,676,Tract
13121007805,1525,Tract
13121007806,1186,Tract
13121007807,633,Tract
13121007808,1247,Tract
13121007809,258,Tract
13121007810,1352,Tract
13121007900,322,Tract
13121008000,976,Tract
13121008103,1412,Tract
13121008104,593,Tract
13121008202,390,Tract
13121008203,683,Tract
13121008204,237,Tract
13121008301,598,Tract
13121008302,336,Tract
13121008400,594,Tract
13121008500,448,Tract
13121008601,1204,Tract
13121008602,245,Tract
13121008701,908,Tract
13121008702,519,Tract
13121008801,142,Tract
13121008802,305,Tract
13121008903,992,Tract
13121008905,2439,Tract
13121008906,5,Tract
13121008907,722,Tract
13121008908,1117,Tract
13121008909,197,Tract
13121009001,924,Tract
13121009002,46,Tract
13121009103,1317,Tract
13121009104,842,Tract
13121009105,82,Tract
13121009106,978,Tract
13121009201,472,Tract
13121009202,1105,Tract
13121009203,1365,Tract
13121009301,199,Tract
13121009302,454,Tract
13121009405,2164,Tract
13121009406,1011,Tract
13121009407,456,Tract
13121009408,793,Tract
13121009409,363,Tract
13121009410,840,Tract
13121009411,197,Tract
13121009501,295,Tract
13121009503,755,Tract
13121009504,1189,Tract
13121009601,1195,Tract
13121009604,1347,Tract
13121009605,1630,Tract
13121009606,60,Tract
13121009607,1842,Tract
13121009700,115,Tract
13121009802,576,Tract
13121009803,1011,Tract
13121009804,21,Tract
13121009900,588,Tract
13121010003,845,Tract
13121010004,7,Tract
13121010005,36,Tract
13121010006,2082,Tract
13121010007,176,Tract
13121010106,611,Tract
13121010107,12,Tract
13121010108,398,Tract
13121010115,491,Tract
13121010117,1683,Tract
13121010120,634,Tract
13121010121,469,Tract
13121010124,711,Tract
13121010125,1064,Tract
13121010126,508,Tract
13121010127,337,Tract
13121010128,718,Tract
13121010129,1708,Tract
13121010130,1560,Tract
13121010131,791,Tract
13121010132,1158,Tract
13121010133,2378,Tract
13121010134,1024,Tract
13121010135,665,Tract
13121010136,867,Tract
13121010137,1053,Tract
13121010204,56,Tract
13121010211,584,Tract
13121010212,1245,Tract
13121010213,373,Tract
13121010214,893,Tract
